partner_A	partner_B	ligand_genes	receptor_genes	classification	directionality	id_cp_interaction
759	1504	COL9A3	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0FD500AF3
208	1504	FN1	ITGA10_ITGB1	Adhesion by Fibronectin	Adhesion-Adhesion	CPI-SC0C91660AB
716	1505	COL10A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0519DE925
322	1505	COL11A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC06F3DDF90
343	1505	COL11A2	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC06DCE672A
930	1505	COL12A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0A3722F1F
810	1505	COL13A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC093DFA335
720	1505	COL14A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC092A2325E
1347	1505	COL15A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0BCE0B954
725	1505	COL16A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC01633DC81
1042	1505	COL17A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0D3C68BD6
1348	1505	COL18A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0755F1632
775	1505	COL19A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0E09C8768
197	1505	COL1A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0AD2341AF
264	1505	COL1A2	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC015ECCD97
1012	1505	COL20A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0BB8BF2C5
911	1505	COL21A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0C1E494D6
869	1505	COL22A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC015ED6B05
799	1505	COL24A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0B09B811A
903	1505	COL26A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC08885876E
852	1505	COL27A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0FC6454F5
804	1505	COL28A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0E40282DA
198	1505	COL2A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0A5E87289
199	1505	COL3A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0C061DC28
200	1505	COL4A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0C351F7DF
272	1505	COL4A2	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC09AE93F66
703	1505	COL4A3	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC08F17FB3E
648	1505	COL4A4	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0FAC9844A
1344	1505	COL4A5	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC044B5BE16
758	1505	COL4A6	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC01539071B
413	1505	COL5A1	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC08821B0D2
245	1505	COL5A2	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC075489ADB
1340	1505	COL5A3	ITGA11_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0D0BFC9F7
