interaction_key,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,sum_across_punches
pericyte_pericyte_JAG1_NOTCH3,7,25,21,26,17,16,29,12,7,22,16,9,10,10,3,5,1,0,1,27,8,7,14,7,8,6,0,17,18,33,34,28,23,14,19,0,0,0,3,6,32,33,26,18,20,14,22,5,35,8,24,22,25,25,26,0,11,8,16,25,15,25,17,28,26,1015
pericyte_pericyte_SDC2_ADGRA2,0,25,21,26,17,16,29,12,7,22,16,9,10,10,3,5,0,0,0,27,8,7,14,7,8,6,0,17,18,33,34,28,23,14,19,0,0,0,0,6,32,33,26,18,20,14,22,0,35,8,24,22,25,25,26,0,11,8,16,25,15,25,17,28,26,998
Tumor_Tumor_HSPG2_DAG1,13,19,12,20,12,13,18,27,25,22,35,10,8,16,7,8,10,0,4,12,0,0,0,0,0,0,0,27,31,12,13,9,29,10,19,12,0,12,12,15,14,0,0,25,23,18,34,0,18,23,28,21,35,28,32,0,6,21,21,36,26,12,13,26,39,991
endothelial cell_macrophage_JAG1_NOTCH2,0,30,0,32,15,15,23,0,21,21,20,0,18,18,10,12,11,0,7,18,14,0,17,11,0,15,6,24,25,41,27,28,30,14,23,0,0,0,0,0,22,32,27,0,0,13,29,0,0,13,14,30,30,31,28,0,13,6,0,26,16,19,15,20,34,964
pericyte_pericyte_JAG1_NOTCH1,0,25,21,26,17,16,29,12,0,22,16,9,10,0,0,0,0,0,0,27,8,7,14,0,8,6,0,17,18,33,34,28,23,14,19,0,0,0,0,0,32,33,26,18,20,0,22,5,35,0,24,22,25,25,26,0,11,8,16,25,15,25,17,28,26,943
Tumor_Tumor_MPZL1_MPZL1,13,19,0,20,12,13,18,27,25,22,35,10,8,16,7,0,0,0,0,12,0,0,0,0,0,0,0,27,31,0,13,9,29,10,19,12,0,12,12,15,14,22,10,25,23,18,34,9,18,0,28,0,35,28,32,0,6,21,21,36,26,12,13,26,39,942
endothelial cell_macrophage_CXCL12_CXCR4,9,30,0,32,15,15,23,7,21,21,0,22,18,18,0,12,11,0,0,18,14,0,17,11,16,15,6,24,25,41,27,28,30,14,23,0,0,0,0,10,0,32,27,0,0,13,29,0,0,13,14,30,30,31,28,0,0,0,6,26,0,19,15,20,34,940
pericyte_endothelial cell_JAG1_NOTCH4,10,34,0,32,19,17,26,8,6,23,11,6,6,9,2,4,2,0,2,18,5,4,11,5,3,5,0,21,22,38,34,38,24,11,14,0,0,0,4,12,32,25,18,14,16,5,18,5,40,8,20,22,26,29,24,0,4,10,18,27,9,21,16,26,21,940
pericyte_endothelial cell_JAG1_NOTCH1,10,34,0,32,19,17,26,8,6,23,11,6,6,9,2,4,2,0,2,18,5,4,11,5,3,5,0,21,22,38,34,38,24,11,14,0,0,0,4,12,32,25,18,14,16,5,18,5,40,8,20,22,26,29,24,0,4,10,18,27,9,21,16,26,21,940
endothelial cell_macrophage_SEMA4C_PLXNB2,0,30,0,32,15,15,23,7,21,21,20,22,18,0,0,0,11,0,0,18,14,0,17,0,16,0,0,24,25,41,27,28,30,14,23,0,0,0,0,0,22,32,27,21,0,13,29,16,29,0,14,30,30,31,28,0,0,0,6,26,0,19,15,0,34,934
endothelial cell_Tumor_LAMC1_DAG1,0,35,0,32,0,0,0,25,25,29,29,0,13,0,0,0,0,0,6,13,6,7,11,0,0,5,0,36,39,31,25,31,34,9,17,8,3,0,7,17,17,21,20,23,0,18,36,0,21,0,31,30,31,31,32,0,0,0,0,32,22,15,16,0,43,932
pericyte_pericyte_COL4A1_CD44,7,25,21,26,17,16,29,12,7,22,16,9,10,10,0,0,0,0,0,27,0,0,14,0,8,0,0,17,18,33,34,28,23,14,19,0,0,0,0,0,32,33,26,18,20,14,22,0,0,0,24,22,25,25,26,4,11,8,16,25,15,25,17,28,26,924
pericyte_pericyte_JAG1_NOTCH2,0,25,21,26,17,16,29,12,0,22,16,0,10,10,3,0,0,0,0,27,8,7,14,0,0,0,0,17,18,33,34,28,23,14,19,0,0,0,3,6,32,33,26,18,20,14,22,0,0,8,24,22,25,25,26,0,11,8,16,25,15,25,17,28,26,924
endothelial cell_macrophage_PROS1_MERTK,0,30,0,32,15,15,23,0,21,21,20,22,18,18,0,0,0,0,0,0,0,0,17,0,16,0,0,24,25,41,27,28,30,0,23,0,0,0,0,0,22,32,27,21,20,0,29,16,29,0,0,30,30,31,28,0,13,0,0,26,16,19,15,20,34,924
endothelial cell_macrophage_GAS6_MERTK,0,30,0,32,15,15,23,0,21,21,20,22,18,18,0,12,11,0,0,0,0,0,17,11,16,15,0,24,25,41,27,28,30,0,23,0,0,0,0,0,22,32,27,21,20,0,29,0,29,13,0,30,30,31,28,0,0,0,0,26,16,19,0,0,34,922
endothelial cell_muscle cell_JAG1_NOTCH3,0,28,0,33,16,14,30,21,10,19,13,10,11,11,7,5,6,0,4,15,7,0,10,9,5,3,1,21,25,33,25,27,23,12,11,0,0,5,3,14,20,27,21,20,19,10,26,7,15,13,16,28,29,28,23,0,8,7,8,18,12,9,11,16,36,914
endothelial cell_pericyte_LAMC1_CD44,9,37,0,42,24,18,37,22,0,0,15,16,16,15,0,0,0,0,0,33,0,0,0,0,0,0,0,26,33,45,31,0,30,19,19,0,0,0,0,0,31,39,32,0,21,14,31,0,0,0,28,33,38,40,33,5,15,0,0,27,0,0,0,0,37,911
