ligand_norm,receptor_norm,signaling_type_ccv2,signaling_type_lr,ligand_ccv2,receptor_ccv2,ligand_lr,receptor_lr
HSD17B6,NR1H4,Non-protein Signaling,Secreted Signaling,HSD17B6,NR1H4,HSD17B6,NR1H4
APOA1,ABCA1,Cell-Cell Contact,Secreted Signaling,APOA1,ABCA1,APOA1,ABCA1
APOA1,AMN_CUBN,Cell-Cell Contact,Secreted Signaling,APOA1,AMN_CUBN,APOA1,AMN_CUBN
APOA1,TREM2_TYROBP,Cell-Cell Contact,Secreted Signaling,APOA1,TREM2_TYROBP,APOA1,TREM2_TYROBP
APOA2,TREM2_TYROBP,Cell-Cell Contact,Secreted Signaling,APOA2,TREM2_TYROBP,APOA2,TREM2_TYROBP
APOB,APOBR,Cell-Cell Contact,Secreted Signaling,APOB,APOBR,APOB,APOBR
APOB,TREM2_TYROBP,Cell-Cell Contact,Secreted Signaling,APOB,TREM2_TYROBP,APOB,TREM2_TYROBP
APOE,TREM2_TYROBP,Cell-Cell Contact,Secreted Signaling,APOE,TREM2_TYROBP,APOE,TREM2_TYROBP
ALDH1A1,CRABP2_RARA,Non-protein Signaling,Secreted Signaling,ALDH1A1,CRABP2_RARA,ALDH1A1,CRABP2_RARA
ALDH1A1,CRABP2_RARA_RXRA,Non-protein Signaling,Secreted Signaling,ALDH1A1,CRABP2_RXRA_RARA,ALDH1A1,CRABP2_RARA_RXRA
ALDH1A1,CRABP2_RARB,Non-protein Signaling,Secreted Signaling,ALDH1A1,RARB_CRABP2,ALDH1A1,CRABP2_RARB
ALDH1A1,CRABP2_RARB_RXRB,Non-protein Signaling,Secreted Signaling,ALDH1A1,RARB_CRABP2_RXRB,ALDH1A1,CRABP2_RARB_RXRB
ALDH1A1,CRABP2_RARG,Non-protein Signaling,Secreted Signaling,ALDH1A1,RARG_CRABP2,ALDH1A1,CRABP2_RARG
ALDH1A1,CRABP2_RARG_RXRG,Non-protein Signaling,Secreted Signaling,ALDH1A1,RARG_CRABP2_RXRG,ALDH1A1,CRABP2_RARG_RXRG
ALDH1A1,CRABP2_RXRA,Non-protein Signaling,Secreted Signaling,ALDH1A1,CRABP2_RXRA,ALDH1A1,CRABP2_RXRA
ALDH1A1,CRABP2_RXRB,Non-protein Signaling,Secreted Signaling,ALDH1A1,CRABP2_RXRB,ALDH1A1,CRABP2_RXRB
ALDH1A1,CRABP2_RXRG,Non-protein Signaling,Secreted Signaling,ALDH1A1,CRABP2_RXRG,ALDH1A1,CRABP2_RXRG
ALDH1A1,RORB,Non-protein Signaling,Secreted Signaling,ALDH1A1,RORB,ALDH1A1,RORB
ALDH1A2,CRABP2_RARA,Non-protein Signaling,Secreted Signaling,ALDH1A2,CRABP2_RARA,ALDH1A2,CRABP2_RARA
ALDH1A2,CRABP2_RARA_RXRA,Non-protein Signaling,Secreted Signaling,ALDH1A2,CRABP2_RXRA_RARA,ALDH1A2,CRABP2_RARA_RXRA
ALDH1A2,CRABP2_RARB,Non-protein Signaling,Secreted Signaling,ALDH1A2,RARB_CRABP2,ALDH1A2,CRABP2_RARB
ALDH1A2,CRABP2_RARB_RXRB,Non-protein Signaling,Secreted Signaling,ALDH1A2,RARB_CRABP2_RXRB,ALDH1A2,CRABP2_RARB_RXRB
ALDH1A2,CRABP2_RARG,Non-protein Signaling,Secreted Signaling,ALDH1A2,RARG_CRABP2,ALDH1A2,CRABP2_RARG
ALDH1A2,CRABP2_RARG_RXRG,Non-protein Signaling,Secreted Signaling,ALDH1A2,RARG_CRABP2_RXRG,ALDH1A2,CRABP2_RARG_RXRG
ALDH1A2,CRABP2_RXRA,Non-protein Signaling,Secreted Signaling,ALDH1A2,CRABP2_RXRA,ALDH1A2,CRABP2_RXRA
ALDH1A2,CRABP2_RXRB,Non-protein Signaling,Secreted Signaling,ALDH1A2,CRABP2_RXRB,ALDH1A2,CRABP2_RXRB
ALDH1A2,CRABP2_RXRG,Non-protein Signaling,Secreted Signaling,ALDH1A2,CRABP2_RXRG,ALDH1A2,CRABP2_RXRG
ALDH1A2,RORB,Non-protein Signaling,Secreted Signaling,ALDH1A2,RORB,ALDH1A2,RORB
ALDH1A3,CRABP2_RARA,Non-protein Signaling,Secreted Signaling,ALDH1A3,CRABP2_RARA,ALDH1A3,CRABP2_RARA
ALDH1A3,CRABP2_RARA_RXRA,Non-protein Signaling,Secreted Signaling,ALDH1A3,CRABP2_RXRA_RARA,ALDH1A3,CRABP2_RARA_RXRA
ALDH1A3,CRABP2_RARB,Non-protein Signaling,Secreted Signaling,ALDH1A3,RARB_CRABP2,ALDH1A3,CRABP2_RARB
ALDH1A3,CRABP2_RARB_RXRB,Non-protein Signaling,Secreted Signaling,ALDH1A3,RARB_CRABP2_RXRB,ALDH1A3,CRABP2_RARB_RXRB
ALDH1A3,CRABP2_RARG,Non-protein Signaling,Secreted Signaling,ALDH1A3,RARG_CRABP2,ALDH1A3,CRABP2_RARG
ALDH1A3,CRABP2_RARG_RXRG,Non-protein Signaling,Secreted Signaling,ALDH1A3,RARG_CRABP2_RXRG,ALDH1A3,CRABP2_RARG_RXRG
ALDH1A3,CRABP2_RXRA,Non-protein Signaling,Secreted Signaling,ALDH1A3,CRABP2_RXRA,ALDH1A3,CRABP2_RXRA
ALDH1A3,CRABP2_RXRB,Non-protein Signaling,Secreted Signaling,ALDH1A3,CRABP2_RXRB,ALDH1A3,CRABP2_RXRB
ALDH1A3,CRABP2_RXRG,Non-protein Signaling,Secreted Signaling,ALDH1A3,CRABP2_RXRG,ALDH1A3,CRABP2_RXRG
ALDH1A3,RORB,Non-protein Signaling,Secreted Signaling,ALDH1A3,RORB,ALDH1A3,RORB
CYP27B1,VDR,Non-protein Signaling,Secreted Signaling,CYP27B1,VDR,CYP27B1,VDR
CD276,TREML2,Cell-Cell Contact,Secreted Signaling,CD276,TREML2,CD276,TREML2
CEL,RORA,Non-protein Signaling,Secreted Signaling,CEL,RORA,CEL,RORA
CEL,RORC,Non-protein Signaling,Secreted Signaling,CEL,RORC,CEL,RORC
DHCR24,RORA,Non-protein Signaling,Secreted Signaling,DHCR24,RORA,DHCR24,RORA
DHCR24,RORC,Non-protein Signaling,Secreted Signaling,DHCR24,RORC,DHCR24,RORC
DHCR7,RORA,Non-protein Signaling,Secreted Signaling,DHCR7,RORA,DHCR7,RORA
DHCR7,RORC,Non-protein Signaling,Secreted Signaling,DHCR7,RORC,DHCR7,RORC
LIPA,RORA,Non-protein Signaling,Secreted Signaling,LIPA,RORA,LIPA,RORA
LIPA,RORC,Non-protein Signaling,Secreted Signaling,LIPA,RORC,LIPA,RORC
CNTN1,NOTCH1,Cell-Cell Contact,Secreted Signaling,CNTN1,NOTCH1,CNTN1,NOTCH1
CNTN1,NOTCH2,Cell-Cell Contact,Secreted Signaling,CNTN1,NOTCH2,CNTN1,NOTCH2
CYP11B1,NR3C1,Non-protein Signaling,Secreted Signaling,CYP11B1,NR3C1,CYP11B1,NR3C1
CYP11B1,NR3C2,Non-protein Signaling,Secreted Signaling,CYP11B1,NR3C2,CYP11B1,NR3C2
UBASH3B,ESR1,Non-protein Signaling,Secreted Signaling,UBASH3B,ESR1,UBASH3B,ESR1
UBASH3B,NR1I2,Non-protein Signaling,Secreted Signaling,UBASH3B,NR1I2,UBASH3B,NR1I2
UBASH3B,PPARA,Non-protein Signaling,Secreted Signaling,UBASH3B,PPARA,UBASH3B,PPARA
DHCR7,NR1H2,Non-protein Signaling,Secreted Signaling,DHCR7,NR1H2,DHCR7,NR1H2
DHCR7,NR1H3,Non-protein Signaling,Secreted Signaling,DHCR7,NR1H3,DHCR7,NR1H3
CYP21A2,NR3C2,Non-protein Signaling,Secreted Signaling,CYP21A2,NR3C2,CYP21A2,NR3C2
SULT1E1,PPARA,Non-protein Signaling,Secreted Signaling,SULT1E1,PPARA,SULT1E1,PPARA
SULT1E1,PPARD,Non-protein Signaling,Secreted Signaling,SULT1E1,PPARD,SULT1E1,PPARD
SULT1E1,PPARG,Non-protein Signaling,Secreted Signaling,SULT1E1,PPARG,SULT1E1,PPARG
SULT2A1,PPARA,Non-protein Signaling,Secreted Signaling,SULT2A1,PPARA,SULT2A1,PPARA
SULT2A1,PPARD,Non-protein Signaling,Secreted Signaling,SULT2A1,PPARD,SULT2A1,PPARD
SULT2A1,PPARG,Non-protein Signaling,Secreted Signaling,SULT2A1,PPARG,SULT2A1,PPARG
SULT1A1,PPARA,Non-protein Signaling,Secreted Signaling,SULT1A1,PPARA,SULT1A1,PPARA
SULT1A1,PPARD,Non-protein Signaling,Secreted Signaling,SULT1A1,PPARD,SULT1A1,PPARD
SULT1A1,PPARG,Non-protein Signaling,Secreted Signaling,SULT1A1,PPARG,SULT1A1,PPARG
SRD5A1,AR,Non-protein Signaling,Secreted Signaling,SRD5A1,AR,SRD5A1,AR
SRD5A2,AR,Non-protein Signaling,Secreted Signaling,SRD5A2,AR,SRD5A2,AR
SRD5A3,AR,Non-protein Signaling,Secreted Signaling,SRD5A3,AR,SRD5A3,AR
CYP19A1,ESR1,Non-protein Signaling,Secreted Signaling,CYP19A1,ESR1,CYP19A1,ESR1
CYP19A1,ESR2,Non-protein Signaling,Secreted Signaling,CYP19A1,ESR2,CYP19A1,ESR2
CYP19A1,GPER1,Non-protein Signaling,Secreted Signaling,CYP19A1,GPER1,CYP19A1,GPER1
CYP19A1,NR1I2,Non-protein Signaling,Secreted Signaling,CYP19A1,NR1I2,CYP19A1,NR1I2
HSD17B1,ESR1,Non-protein Signaling,Secreted Signaling,HSD17B1,ESR1,HSD17B1,ESR1
HSD17B1,ESR2,Non-protein Signaling,Secreted Signaling,HSD17B1,ESR2,HSD17B1,ESR2
HSD17B1,GPER1,Non-protein Signaling,Secreted Signaling,HSD17B1,GPER1,HSD17B1,GPER1
HSD17B1,NR1I2,Non-protein Signaling,Secreted Signaling,HSD17B1,NR1I2,HSD17B1,NR1I2
ASMT,MTNR1A,Non-protein Signaling,Secreted Signaling,ASMT,MTNR1A,ASMT,MTNR1A
ASMT,MTNR1B,Non-protein Signaling,Secreted Signaling,ASMT,MTNR1B,ASMT,MTNR1B
MICA,HCST_KLRK1,Cell-Cell Contact,Secreted Signaling,MICA,KLRK1_HCST,MICA,HCST_KLRK1
MICB,HCST_KLRK1,Cell-Cell Contact,Secreted Signaling,MICB,KLRK1_HCST,MICB,HCST_KLRK1
NTN1,DCC,Cell-Cell Contact,Secreted Signaling,NTN1,DCC,NTN1,DCC
NTN1,DSCAM,Cell-Cell Contact,Secreted Signaling,NTN1,DSCAM,NTN1,DSCAM
NTN1,UNC5A,Cell-Cell Contact,Secreted Signaling,NTN1,UNC5A,NTN1,UNC5A
NTN1,UNC5B,Cell-Cell Contact,Secreted Signaling,NTN1,UNC5B,NTN1,UNC5B
NTN1,UNC5C,Cell-Cell Contact,Secreted Signaling,NTN1,UNC5C,NTN1,UNC5C
NTN4,NTRK2,Cell-Cell Contact,Secreted Signaling,NTN4,NTRK2,NTN4,NTRK2
NTN4,UNC5B,Cell-Cell Contact,Secreted Signaling,NTN4,UNC5B,NTN4,UNC5B
NTN4,UNC5D,Cell-Cell Contact,Secreted Signaling,NTN4,UNC5D,NTN4,UNC5D
CD200,CD200R1,Cell-Cell Contact,Secreted Signaling,CD200,CD200R1,CD200,CD200R1
HSD3B1,CATSPER1_CATSPERB,Non-protein Signaling,Secreted Signaling,HSD3B1,CATSPER1_CATSPERB,HSD3B1,CATSPER1_CATSPERB
HSD3B1,CATSPER1_CATSPERD,Non-protein Signaling,Secreted Signaling,HSD3B1,CATSPER1_CATSPERD,HSD3B1,CATSPER1_CATSPERD
HSD3B1,CATSPER2_CATSPERB,Non-protein Signaling,Secreted Signaling,HSD3B1,CATSPER2_CATSPERB,HSD3B1,CATSPER2_CATSPERB
HSD3B1,CATSPER2_CATSPERD,Non-protein Signaling,Secreted Signaling,HSD3B1,CATSPERD_CATSPER2,HSD3B1,CATSPER2_CATSPERD
HSD3B1,CATSPER3_CATSPERB,Non-protein Signaling,Secreted Signaling,HSD3B1,CATSPER3_CATSPERB,HSD3B1,CATSPER3_CATSPERB
HSD3B1,CATSPER3_CATSPERD,Non-protein Signaling,Secreted Signaling,HSD3B1,CATSPER3_CATSPERD,HSD3B1,CATSPER3_CATSPERD
HSD3B1,CATSPER4_CATSPERB,Non-protein Signaling,Secreted Signaling,HSD3B1,CATSPER4_CATSPERB,HSD3B1,CATSPER4_CATSPERB
HSD3B1,CATSPER4_CATSPERD,Non-protein Signaling,Secreted Signaling,HSD3B1,CATSPER4_CATSPERD,HSD3B1,CATSPER4_CATSPERD
AKR1C3,PTGDR2,Non-protein Signaling,Secreted Signaling,AKR1C3,PTGDR2,AKR1C3,PTGDR2
RELN,LRP8,ECM-Receptor,Secreted Signaling,RELN,LRP8,RELN,LRP8
RELN,VLDLR,ECM-Receptor,Secreted Signaling,RELN,VLDLR,RELN,VLDLR
DDC,HTR1A,Non-protein Signaling,Secreted Signaling,DDC,HTR1A,DDC,HTR1A
DDC,HTR1B,Non-protein Signaling,Secreted Signaling,DDC,HTR1B,DDC,HTR1B
DDC,HTR1D,Non-protein Signaling,Secreted Signaling,DDC,HTR1D,DDC,HTR1D
DDC,HTR1E,Non-protein Signaling,Secreted Signaling,DDC,HTR1E,DDC,HTR1E
DDC,HTR1F,Non-protein Signaling,Secreted Signaling,DDC,HTR1F,DDC,HTR1F
DDC,HTR2A,Non-protein Signaling,Secreted Signaling,DDC,HTR2A,DDC,HTR2A
DDC,HTR2B,Non-protein Signaling,Secreted Signaling,DDC,HTR2B,DDC,HTR2B
DDC,HTR2C,Non-protein Signaling,Secreted Signaling,DDC,HTR2C,DDC,HTR2C
DDC,HTR3A,Non-protein Signaling,Secreted Signaling,DDC,HTR3A,DDC,HTR3A
DDC,HTR3B,Non-protein Signaling,Secreted Signaling,DDC,HTR3B,DDC,HTR3B
DDC,HTR3C,Non-protein Signaling,Secreted Signaling,DDC,HTR3C,DDC,HTR3C
DDC,HTR3D,Non-protein Signaling,Secreted Signaling,DDC,HTR3D,DDC,HTR3D
DDC,HTR3E,Non-protein Signaling,Secreted Signaling,DDC,HTR3E,DDC,HTR3E
DDC,HTR4,Non-protein Signaling,Secreted Signaling,DDC,HTR4,DDC,HTR4
DDC,HTR5A,Non-protein Signaling,Secreted Signaling,DDC,HTR5A,DDC,HTR5A
DDC,HTR6,Non-protein Signaling,Secreted Signaling,DDC,HTR6,DDC,HTR6
DDC,HTR7,Non-protein Signaling,Secreted Signaling,DDC,HTR7,DDC,HTR7
DDC,DRD1,Non-protein Signaling,Secreted Signaling,DDC,DRD1,DDC,DRD1
DDC,DRD2,Non-protein Signaling,Secreted Signaling,DDC,DRD2,DDC,DRD2
DDC,DRD3,Non-protein Signaling,Secreted Signaling,DDC,DRD3,DDC,DRD3
DDC,DRD4,Non-protein Signaling,Secreted Signaling,DDC,DRD4,DDC,DRD4
DDC,DRD5,Non-protein Signaling,Secreted Signaling,DDC,DRD5,DDC,DRD5
AKR1D1,AR,Non-protein Signaling,Secreted Signaling,AKR1D1,AR,AKR1D1,AR
HSD17B12,AR,Non-protein Signaling,Secreted Signaling,HSD17B12,AR,HSD17B12,AR
HSD17B3,AR,Non-protein Signaling,Secreted Signaling,HSD17B3,AR,HSD17B3,AR
VCAM1,ITGAD_ITGB2,Cell-Cell Contact,Secreted Signaling,VCAM1,ITGAD_ITGB2,VCAM1,ITGAD_ITGB2
