ligand,receptor,pathway,signaling_type,version
WNT10B,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10B,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT16,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT16,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT16,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2B,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2B,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2B,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2B,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT2B,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2B,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2B,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2B,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT2B,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT2B,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT3,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT3,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3A,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3A,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3A,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3A,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT3A,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3A,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3A,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3A,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT3A,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT3A,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT4,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
