ligand,receptor,pathway,signaling_type
CCL2,ACKR2,nan,Secreted Signaling
CCL5,ACKR2,nan,Secreted Signaling
CCL3L1,ACKR2,nan,Secreted Signaling
CCL11,ACKR2,nan,Secreted Signaling
CCL8,ACKR2,nan,Secreted Signaling
CCL7,ACKR2,nan,Secreted Signaling
CCL14,ACKR2,nan,Secreted Signaling
CCL13,ACKR2,nan,Secreted Signaling
CCL28,ACKR2,nan,Secreted Signaling
CCL27,ACKR2,nan,Secreted Signaling
PODXL,SELL,nan,Cell-Cell Contact
CCL22,DPP4,nan,Secreted Signaling
CCL22,CCR4,nan,Secreted Signaling
WNT7A,LDLR,nan,Secreted Signaling
NRG2,ERBB3,nan,Secreted Signaling
NRG2,ERBB4,nan,Secreted Signaling
CXCL11,ACKR3,nan,Secreted Signaling
CXCL11,DPP4,nan,Secreted Signaling
CXCL11,CXCR3,nan,Secreted Signaling
FASLG,TNFRSF10B,nan,Secreted Signaling
TNFSF10,TNFRSF10B,nan,Secreted Signaling
VEGFA,NRP1,nan,Secreted Signaling
PGF,NRP1,nan,Secreted Signaling
VEGFB,NRP1,nan,Secreted Signaling
SEMA3A,NRP1,nan,Secreted Signaling
TNFSF11,TNFRSF11A,nan,Secreted Signaling
MSTN,TGFBR1_ACVR2A,nan,Secreted Signaling
MSTN,TGFBR1_ACVR2B,nan,Secreted Signaling
TNFSF10,TNFRSF10C,nan,Secreted Signaling
TNFSF13,TNFRSF13B,nan,Secreted Signaling
CD70,TNFRSF13B,nan,Secreted Signaling
TNFSF13B,TNFRSF13B,nan,Secreted Signaling
NCR3,NCR3LG1,nan,Cell-Cell Contact
EREG,EGFR,nan,Secreted Signaling
EREG,ERBB4,nan,Secreted Signaling
PTN,PLXNB2,nan,Secreted Signaling
PLXNB2,SEMA4D,nan,Cell-Cell Contact
PLXNB2,SEMA4C,nan,Cell-Cell Contact
PLXNB2,SEMA4G,nan,Cell-Cell Contact
SEMA3E,PLXND1,nan,Secreted Signaling
ANGPT2,TEK,nan,Secreted Signaling
CCL4L2,PGRMC2,nan,Secreted Signaling
EPHB6,EFNB2,nan,Secreted Signaling
EPHB6,EFNB1,nan,Cell-Cell Contact
EPHB6,EFNB3,nan,Secreted Signaling
VGF,NTRK1,nan,Secreted Signaling
PSAP,GPR37,nan,Secreted Signaling
FAM19A5,GPR37,nan,Secreted Signaling
IL16,GRIN2D,nan,Secreted Signaling
CCL25,CCR9,nan,Secreted Signaling
CCL25,ACKR4,nan,Secreted Signaling
CCL16,CCR1,nan,Secreted Signaling
CCL16,CCR2,nan,Secreted Signaling
