ligand,receptor,classification,directionality,id_cp_interaction,signaling_type
COL12A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0EC720659,Cell-Cell Contact
COL13A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0A18569E5,Cell-Cell Contact
COL14A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0B6D93CD4,Cell-Cell Contact
COL15A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC01BE5E1F7,Cell-Cell Contact
COL16A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC027EF0F68,Cell-Cell Contact
COL17A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC00942962B,Cell-Cell Contact
COL18A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC039737584,Cell-Cell Contact
COL19A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0423059DF,Cell-Cell Contact
COL1A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC028882919,Cell-Cell Contact
COL1A2,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC07707E049,Cell-Cell Contact
COL20A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0F393B830,Cell-Cell Contact
COL21A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC076898564,Cell-Cell Contact
COL22A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0AA500B63,Cell-Cell Contact
COL24A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC09E4E673B,Cell-Cell Contact
COL26A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC008D5E4B2,Cell-Cell Contact
COL27A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC090152EEE,Cell-Cell Contact
COL28A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0E9AA9087,Cell-Cell Contact
COL2A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0AA90A03B,Cell-Cell Contact
