==============================================================================
ALARMIST  seed=53  K=20  patch=50.0um  ->  results/GBM_s53_new
  stages : bptf
  figures: none   data-file: data/xenium_mm_final_cell_id.h5ad
==============================================================================
timestamp_utc = 2026-07-28T22:55:11Z
stages = bptf
seed = 53   n_components = 20   patch_size = 50.0   max_iter = 1000
data_file = data/xenium_mm_final_cell_id.h5ad
output_dir = results/GBM_s53_new
patchify = results/GBM_s53_new/patchify (built here)
cell_type_column = cell_type   resource = cellchatdb   cellchatdb = data/LRdatabase/CellChatDBv2.0.human.csv
count_layer = X   glm_backend = torch   glm_device = cpu   gene_tile = 2048
prefilter_spearman = True   glm_dtype = float64
figures = none   network_threshold = [100.0]   viz_network_threshold = 0.0
python = /Users/jiayifan/anaconda3/envs/bptf/bin/python
alarmist_git_commit = 95208de4180946fd4fed77cd3ff594c6114f93e9


>>>> 2026-07-28T22:55:11Z  [bptf] in-process  K=20  max_iter=1000  seed=53  cellchatdb=data/LRdatabase/CellChatDBv2.0.human.csv
OMP: Info #276: omp_set_nested routine deprecated, please use omp_set_max_active_levels instead.
ITERATION 0:	Time: 0.000000	Objective: -8051575174.16	Change: nan	
  6%|5         | 57/1000 [00:58<16:13,  1.03s/it]ITERATION 58:	Time: 1.036381	Objective: -1099332.13	Change: 4.51736e-04	
  6%|5         | 58/1000 [00:59<16:13,  1.03s/it]ITERATION 59:	Time: 1.033123	Objective: -1098884.36	Change: 4.07316e-04	
  6%|5         | 59/1000 [01:00<16:12,  1.03s/it]ITERATION 60:	Time: 1.040371	Objective: -1098450.63	Change: 3.94697e-04	
  6%|6         | 60/1000 [01:01<16:13,  1.04s/it]ITERATION 61:	Time: 1.019827	Objective: -1098059.53	Change: 3.56044e-04	
  6%|6         | 61/1000 [01:02<16:08,  1.03s/it]ITERATION 62:	Time: 1.018281	Objective: -1097663.45	Change: 3.60712e-04	
  6%|6         | 62/1000 [01:03<16:03,  1.03s/it]ITERATION 63:	Time: 1.016092	Objective: -1097315.71	Change: 3.16805e-04	
  6%|6         | 63/1000 [01:04<15:59,  1.02s/it]ITERATION 64:	Time: 1.014836	Objective: -1096953.09	Change: 3.30455e-04	
  6%|6         | 64/1000 [01:05<15:55,  1.02s/it]ITERATION 65:	Time: 1.034813	Objective: -1096589.39	Change: 3.31556e-04	
  6%|6         | 65/1000 [01:06<15:58,  1.03s/it]ITERATION 66:	Time: 1.037745	Objective: -1096254.60	Change: 3.05304e-04	
  7%|6         | 66/1000 [01:07<16:01,  1.03s/it]ITERATION 67:	Time: 1.054694	Objective: -1095942.36	Change: 2.84819e-04	
  7%|6         | 67/1000 [01:08<16:07,  1.04s/it]ITERATION 68:	Time: 1.043641	Objective: -1095633.99	Change: 2.81382e-04	
  7%|6         | 68/1000 [01:09<16:08,  1.04s/it]ITERATION 69:	Time: 1.045384	Objective: -1095386.03	Change: 2.26309e-04	
  7%|6         | 69/1000 [01:10<16:09,  1.04s/it]ITERATION 70:	Time: 1.051280	Objective: -1095128.15	Change: 2.35424e-04	
  7%|7         | 70/1000 [01:11<16:11,  1.04s/it]ITERATION 71:	Time: 1.013720	Objective: -1094878.87	Change: 2.27627e-04	
  7%|7         | 71/1000 [01:12<16:01,  1.04s/it]ITERATION 72:	Time: 1.015730	Objective: -1094653.84	Change: 2.05531e-04	
  7%|7         | 72/1000 [01:13<15:55,  1.03s/it]ITERATION 73:	Time: 1.017979	Objective: -1094445.42	Change: 1.90397e-04	
  7%|7         | 73/1000 [01:14<15:51,  1.03s/it]ITERATION 74:	Time: 1.022636	Objective: -1094232.90	Change: 1.94180e-04	
  7%|7         | 74/1000 [01:15<15:49,  1.03s/it]ITERATION 75:	Time: 1.019532	Objective: -1093981.11	Change: 2.30113e-04	
  8%|7         | 75/1000 [01:16<15:46,  1.02s/it]ITERATION 76:	Time: 1.020248	Objective: -1093760.97	Change: 2.01220e-04	
  8%|7         | 76/1000 [01:17<15:44,  1.02s/it]ITERATION 77:	Time: 1.028943	Objective: -1093567.04	Change: 1.77310e-04	
  8%|7         | 77/1000 [01:18<15:45,  1.02s/it]ITERATION 78:	Time: 1.053201	Objective: -1093380.48	Change: 1.70599e-04	
  8%|7         | 78/1000 [01:19<15:52,  1.03s/it]ITERATION 79:	Time: 1.020061	Objective: -1093230.81	Change: 1.36887e-04	
  8%|7         | 79/1000 [01:20<15:47,  1.03s/it]ITERATION 80:	Time: 1.025334	Objective: -1093082.34	Change: 1.35812e-04	
  8%|8         | 80/1000 [01:21<15:45,  1.03s/it]ITERATION 81:	Time: 1.051408	Objective: -1092936.54	Change: 1.33383e-04	
  8%|8         | 81/1000 [01:23<15:51,  1.04s/it]ITERATION 82:	Time: 1.049574	Objective: -1092749.83	Change: 1.70833e-04	
  8%|8         | 82/1000 [01:24<15:54,  1.04s/it]ITERATION 83:	Time: 1.013676	Objective: -1092566.13	Change: 1.68102e-04	
  8%|8         | 83/1000 [01:25<15:46,  1.03s/it]ITERATION 84:	Time: 1.010918	Objective: -1092427.76	Change: 1.26651e-04	
  8%|8         | 84/1000 [01:26<15:39,  1.03s/it]ITERATION 85:	Time: 1.019657	Objective: -1092271.04	Change: 1.43457e-04	
  8%|8         | 85/1000 [01:27<15:36,  1.02s/it]ITERATION 86:	Time: 1.015228	Objective: -1092044.74	Change: 2.07187e-04	
  9%|8         | 86/1000 [01:28<15:33,  1.02s/it]ITERATION 87:	Time: 1.014959	Objective: -1091908.11	Change: 1.25116e-04	
  9%|8         | 87/1000 [01:29<15:30,  1.02s/it]ITERATION 88:	Time: 1.022200	Objective: -1091800.08	Change: 9.89287e-05	
  9%|8         | 87/1000 [01:30<15:46,  1.04s/it]
results/GBM_s53_new/bptf/bptf_1.npz
>>>> bptf -> results/GBM_s53_new/bptf

==== DONE  2026-07-28T22:57:09Z  ->  results/GBM_s53_new ====
  compute : patchify/ bptf/ project/ markers/ glm/ motif_states.parquet
  figures : plots_original/ (original)   plots/ (workflow)
  colours : celltype_colors.json + celltype_colors.{png,pdf,svg}
